Liquida;Operado;Operación;N° Ope.;Especie;Cantidad;Precio;Importe;Referencia
01/10/2025;30/09/2025;VTAS;1.254.403;BONO PCIA BS AS REGS NEW U$S 2037;-889;80.616,24;-1.059,18;
18/10/2024;17/10/2024;VTAS;843.767;BONO PCIA BS AS REGS NEW U$S 2037;-800;62.767,11;-693,3;
27/09/2024;26/09/2024;CPRA;769.646;BONO PCIA BS AS REGS NEW U$S 2037;13;57.351,62;-7.455,71;
27/09/2024;26/09/2024;CPRA;769.199;BONO PCIA BS AS REGS NEW U$S 2037;300;57.486,17;-225,22;
19/09/2024;18/09/2024;CPRA;739.184;BONO PCIA BS AS REGS NEW U$S 2037;10;58.643,70;-5.864,37;
18/01/2024;16/01/2024;CPRA;35.362;BONO PCIA BS AS REGS NEW U$S 2037;120;48.878,08;-58.653,70;
09/06/2023;07/06/2023;CPRA;110.935;BONO PCIA BS AS REGS NEW U$S 2037;1.352,00;17.427,84;-235.624,39;
01/03/2024;28/02/2024;VTAS;272.529;BONO PCIA BS AS REGS NEW U$S 2038;-1.200,00;41.446,20;;
23/01/2024;19/01/2024;CPRA;96.658;BONO PCIA BS AS REGS NEW U$S 2039;16;52.702,19;-8.432,35;
12/09/2023;08/09/2023;CPRA;632.249;BONO PCIA BS AS REGS NEW U$S 2040;1.078,00;28.833,45;-310.824,59;
