Liquida;Operado;Operación;N° Ope.;Especie;Cantidad;Precio;Importe;Referencia
06/12/2024;05/12/2024;CPRA;1.042.112;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;260;37.560,00;-97.656,00;
28/11/2024;27/11/2024;CPRA;1.006.749;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;370;38.311,20;-141.751,44;
12/11/2024;11/11/2024;CPRA;937.050;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;150;37.159,37;-55.739,05;
18/06/2024;14/06/2024;VTTR;436.120;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;-140;35.040,19;49.056,27;
18/06/2024;14/06/2024;COTR;436.118;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;140;35.084,80;-49.118,72;
31/07/2023;27/07/2023;CPRA;160.175;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;300;8.423,46;-25.270,37;
27/07/2023;27/07/2023;VTAS;159.728;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;-300;8.386,56;25.159,68;
15/05/2023;11/05/2023;VTAS;88.857;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;-900;5.976,42;53.787,80;
10/03/2023;08/03/2023;CPRA;43.136;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;1.000,00;5.834,32;-58.343,21;
07/02/2023;03/02/2023;CPRA;23.206;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;600;5.438,69;-32.632,13;
12/12/2022;06/12/2022;CPRA;133.717;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;900;4.296,86;-38.671,78;
16/11/2022;14/11/2022;CPRA;122.407;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;1.900,00;4.195,70;-79.718,35;
31/10/2023;31/10/2023;VTAS;823.246;DICP - B. Rep. Arg. con desc. en $;-1.200,00;10.901,22;130.814,64;
30/10/2023;30/10/2023;VTAS;820.635;DICP - B. Rep. Arg. con desc. en $;-1.000,00;10.683,32;106.833,15;
25/10/2023;25/10/2023;VTAS;806.354;DICP - B. Rep. Arg. con desc. en $;-300;10.995,25;32.985,74;
24/10/2023;24/10/2023;VTAS;800.408;DICP - B. Rep. Arg. con desc. en $;-1.000,00;10.531,08;105.310,80;
