Liquida;Operado;Operación;N° Ope.;Especie;Cantidad;Precio;Importe;Referencia
06/03/2026;05/03/2026;VTU$;352.537;BONOS REP. ARG. U$S STEP UP V.09/07/41;-647;;-1.076,18;
06/03/2026;05/03/2026;CPRA;352.535;BONOS REP. ARG. U$S STEP UP V.09/07/41;647;105.117,92;-680.112,94;
04/03/2026;03/03/2026;VTU$;334.569;BONOS REP. ARG. U$S STEP UP V.09/07/41;-647;;-1.048,98;
04/03/2026;03/03/2026;CPRA;334.558;BONOS REP. ARG. U$S STEP UP V.09/07/41;647;102.714,08;-664.560,10;
30/01/2026;29/01/2026;VTU$;163.701;BONOS REP. ARG. U$S STEP UP V.09/07/41;-647;;-1.141,66;
30/01/2026;29/01/2026;CPRA;163.685;BONOS REP. ARG. U$S STEP UP V.09/07/41;647;110.406,37;-714.329,20;
07/01/2026;06/01/2026;VTU$;22.920;BONOS REP. ARG. U$S STEP UP V.09/07/41;-45;;-78,08;
07/01/2026;06/01/2026;CPRA;22.919;BONOS REP. ARG. U$S STEP UP V.09/07/41;45;108.813,82;-48.966,22;
09/12/2025;05/12/2025;VTU$;1.648.032;BONOS REP. ARG. U$S STEP UP V.09/07/41;-364;;-600,06;
09/12/2025;05/12/2025;CPRA;1.648.031;BONOS REP. ARG. U$S STEP UP V.09/07/41;364;103.455,26;-376.577,16;
25/11/2025;20/11/2025;VTU$;1.567.049;BONOS REP. ARG. U$S STEP UP V.09/07/41;-639;;-1.034,50;
25/11/2025;20/11/2025;CPRA;1.567.047;BONOS REP. ARG. U$S STEP UP V.09/07/41;639;102.724,10;-656.406,98;
12/11/2025;11/11/2025;VTU$;1.508.660;BONOS REP. ARG. U$S STEP UP V.09/07/41;-608;;-984,13;
12/11/2025;11/11/2025;CPRA;1.508.656;BONOS REP. ARG. U$S STEP UP V.09/07/41;608;102.163,20;-621.152,26;
07/11/2025;06/11/2025;VTU$;1.482.241;BONOS REP. ARG. U$S STEP UP V.09/07/41;-650;;-1.047,72;
13/08/2025;12/08/2025;VTU$;979.424;BONOS REP. ARG. U$S STEP UP V.09/07/41;-840;;-1.107,05;
13/08/2025;12/08/2025;CPRA;979.407;BONOS REP. ARG. U$S STEP UP V.09/07/41;840;81.930,88;-688.219,39;
16/05/2025;15/05/2025;CPRA;554.262;BONOS REP. ARG. U$S STEP UP V.09/07/41;415;73.817,92;-306.344,37;
22/04/2025;21/04/2025;CPRA;448.111;BONOS REP. ARG. U$S STEP UP V.09/07/41;482;68.639,65;-330.843,10;
01/11/2024;31/10/2024;CPU$;897.826;BONOS REP. ARG. U$S STEP UP V.09/07/41;400;;-346,08;
