Liquida;Operado;Operación;N° Ope.;Especie;Cantidad;Precio;Importe;Referencia
31/10/2025;30/10/2025;VTAS;1.435.685;BONOS REP ARG A LA PAR $ STEP UP 2038;-5;24.461,80;1.223,09;
29/11/2024;28/11/2024;CPRA;1.011.197;BONOS REP ARG A LA PAR $ STEP UP 2038;799;20.482,72;-163.656,93;
12/11/2024;11/11/2024;CPRA;937.375;BONOS REP ARG A LA PAR $ STEP UP 2038;280;20.292,41;-56.818,76;
07/11/2024;06/11/2024;CPRA;918.306;BONOS REP ARG A LA PAR $ STEP UP 2038;600;18.654,80;-111.928,81;
16/10/2024;15/10/2024;CPRA;832.348;BONOS REP ARG A LA PAR $ STEP UP 2038;620;16.130,77;-100.010,77;
09/10/2024;08/10/2024;CPRA;809.567;BONOS REP ARG A LA PAR $ STEP UP 2038;500;16.426,24;-82.131,20;
16/08/2024;15/08/2024;CPRA;621.097;BONOS REP ARG A LA PAR $ STEP UP 2038;175;14.623,37;-25.590,89;
14/08/2024;13/08/2024;CPRA;612.244;BONOS REP ARG A LA PAR $ STEP UP 2038;700;14.443,07;-101.101,50;
18/06/2024;14/06/2024;CPRA;436.113;BONOS REP ARG A LA PAR $ STEP UP 2038;420;16.386,18;-68.821,94;
16/08/2023;14/08/2023;VTAS;180.830;BONOS REP ARG A LA PAR $ STEP UP 2038;-2.700,00;5.211,65;140.714,50;
08/08/2023;04/08/2023;VTAS;170.410;BONOS REP ARG A LA PAR $ STEP UP 2038;-2.640,00;4.842,24;127.835,14;
04/08/2023;02/08/2023;CPRA;167.131;BONOS REP ARG A LA PAR $ STEP UP 2038;650;4.605,86;-29.938,08;
03/08/2023;01/08/2023;CPRA;164.945;BONOS REP ARG A LA PAR $ STEP UP 2038;200;4.407,04;-8.814,08;
31/07/2023;31/07/2023;VTAS;162.982;BONOS REP ARG A LA PAR $ STEP UP 2038;-850;4.392,96;37.340,16;
24/07/2023;20/07/2023;CPRA;152.587;BONOS REP ARG A LA PAR $ STEP UP 2038;12;4.066,50;-487,98;
21/07/2023;19/07/2023;CPRA;151.655;BONOS REP ARG A LA PAR $ STEP UP 2038;1.988,00;4.072,51;-80.961,41;
19/07/2023;19/07/2023;VTAS;150.881;BONOS REP ARG A LA PAR $ STEP UP 2038;-2.000,00;4.102,93;82.058,49;
04/07/2023;30/06/2023;CPRA;132.286;BONOS REP ARG A LA PAR $ STEP UP 2038;150;3.625,79;-5.438,69;
29/05/2023;23/05/2023;VTAS;98.736;BONOS REP ARG A LA PAR $ STEP UP 2038;-90;2.894,87;2.605,38;
15/05/2023;11/05/2023;VTAS;88.866;BONOS REP ARG A LA PAR $ STEP UP 2038;-700;2.645,76;18.520,31;
10/03/2023;08/03/2023;CPRA;43.164;BONOS REP ARG A LA PAR $ STEP UP 2038;2.000,00;2.684,29;-53.685,76;
07/02/2023;03/02/2023;CPRA;23.207;BONOS REP ARG A LA PAR $ STEP UP 2038;1.480,00;2.504,00;-37.059,20;
26/12/2022;22/12/2022;CPRA;141.189;BONOS REP ARG A LA PAR $ STEP UP 2038;2.500,00;2.058,29;-51.457,20;
