Liquida;Operado;Operación;N° Ope.;Especie;Cantidad;Precio;Importe;Referencia
16/10/2025;15/10/2025;VTAS;1.338.232;BONOS DEL TESORO BONCER 2.25% $ 2028;-1.000,00;1.518,57;15.185,66;
27/11/2024;26/11/2024;CPRA;1.000.885;BONOS DEL TESORO BONCER 2.25% $ 2028;3.000,00;1.542,46;-46.273,92;
26/11/2024;25/11/2024;CPRA;994.489;BONOS DEL TESORO BONCER 2.25% $ 2028;5.000,00;1.544,47;-77.223,36;
12/11/2024;11/11/2024;CPRA;937.476;BONOS DEL TESORO BONCER 2.25% $ 2028;19.400,00;1.541,46;-299.043,71;
10/07/2023;10/07/2023;VTAS;141.038;BONOS DEL TESORO BONCER 2.25% $ 2028;-26;381,385;99,16;
10/07/2023;06/07/2023;VTAS;138.976;BONOS DEL TESORO BONCER 2.25% $ 2028;-50;392,96;196,48;
10/07/2023;06/07/2023;COTR;138.668;BONOS DEL TESORO BONCER 2.25% $ 2028;650;392,834;-2.553,42;
10/07/2023;06/07/2023;VTTR;138.615;BONOS DEL TESORO BONCER 2.25% $ 2028;-650;393,265;2.556,22;
07/07/2023;05/07/2023;VTAS;137.135;BONOS DEL TESORO BONCER 2.25% $ 2028;-23.700,00;390,374;92.518,73;
06/07/2023;06/07/2023;VTAS;138.042;BONOS DEL TESORO BONCER 2.25% $ 2028;-1.500,00;391,373;5.870,59;
06/07/2023;04/07/2023;CPRA;135.145;BONOS DEL TESORO BONCER 2.25% $ 2028;2.200,00;387,669;-8.528,72;
29/06/2023;27/06/2023;VTAS;127.989;BONOS DEL TESORO BONCER 2.25% $ 2028;-26.000,00;365,921;95.139,53;
02/02/2023;31/01/2023;CPRA;19.985;BONOS DEL TESORO BONCER 2.25% $ 2028;18.000,00;247,395;-44.531,14;
19/01/2023;17/01/2023;CPRA;10.206;BONOS DEL TESORO BONCER 2.25% $ 2028;26.000,00;238,604;-62.037,10;
12/12/2022;06/12/2022;CPRA;133.716;BONOS DEL TESORO BONCER 2.25% $ 2028;23.500,00;208,027;-48.886,34;
24/10/2023;24/10/2023;VTAS;799.063;BONOS DEL TESORO BONCER 2.25% $ 2028;-6.033,00;528,345;31.875,06;
25/09/2023;25/09/2023;VTAS;684.036;BONOS DEL TESORO BONCER 2.25% $ 2028;-9.841,00;446,622;43.952,04;
08/09/2023;06/09/2023;VTAS;618.884;BONOS DEL TESORO BONCER 2.25% $ 2028;-2.800,00;501,779;14.049,80;
07/09/2023;05/09/2023;VTAS;613.935;BONOS DEL TESORO BONCER 2.25% $ 2028;-3.000,00;504,465;15.133,95;
06/09/2023;06/09/2023;VTAS;618.885;BONOS DEL TESORO BONCER 2.25% $ 2028;-6.800,00;500,983;34.066,81;
01/09/2023;01/09/2023;VTAS;603.997;BONOS DEL TESORO BONCER 2.25% $ 2028;-50;507,44;253,72;
28/07/2023;26/07/2023;CPRA;459.757;BONOS DEL TESORO BONCER 2.25% $ 2028;10.000,00;407,241;-40.724,07;
26/07/2023;26/07/2023;VTAS;459.759;BONOS DEL TESORO BONCER 2.25% $ 2028;-10.000,00;406,656;40.665,65;
26/07/2023;24/07/2023;CPRA;450.755;BONOS DEL TESORO BONCER 2.25% $ 2028;4.000,00;400,04;-16.001,60;
24/07/2023;24/07/2023;VTAS;450.756;BONOS DEL TESORO BONCER 2.25% $ 2028;-4.000,00;404,915;16.196,61;
06/07/2023;04/07/2023;CPRA;391.282;BONOS DEL TESORO BONCER 2.25% $ 2028;10.100,00;394,462;-39.840,71;
