Operado;Operación;Especie;Cantidad;Precio;Importe;mep;Precio_usd;Inversion_usd;Ticker;Empresa;Ratio;tipo
2026-03-12;DIV;CEDEAR VALE S.A.;;;;1416.16;;;VALE;Vale S.A.;2.0;accion
2026-03-11;DIV;CEDEAR BANCO BRADESCO SA;;;;1413.8;;;BBD;Banco Bradesco S.A.;1.0;accion
2026-03-05;VTU$;BONOS REP. ARG. U$S STEP UP V.09/07/41;-647.0;;-1076.18;1433.21;;;;;;bonos
2026-03-05;CPRA;BONOS REP. ARG. U$S STEP UP V.09/07/41;647.0;105117.92;-680112.94;1433.21;73.34;47450.98;;;;bonos
2026-03-05;PAGO;;;;-169000.0;1433.21;;;;;;bonos
2026-03-03;VTU$;BONO PCIA BS AS REGS NEW U$S 2037 B;-408.0;;-682.26;1434.11;;;;;;bonos
2026-03-03;CPRA;BONO PCIA BS AS REGS NEW U$S 2037 B;408.0;106159.58;-433131.1;1434.11;74.02;30200.16;;;;bonos
2026-03-03;VTU$;BONOS REP. ARG. U$S STEP UP V.09/07/41;-647.0;;-1048.98;1434.11;;;;;;bonos
2026-03-03;CPRA;BONOS REP. ARG. U$S STEP UP V.09/07/41;647.0;102714.08;-664560.1;1434.11;71.62;46338.14;;;;bonos
2026-03-03;VTAS;CEDEAR U.S.BANCO;-24.0;15721.86;377324.66;1434.11;10.96;-263.04;USB;U.S. Bancorp;5.0;accion
2026-03-03;VTAS;CEDEAR VALE S.A.;-25.0;11611.83;290295.78;1434.11;8.1;-202.5;VALE;Vale S.A.;2.0;accion
2026-03-03;VTAS;CEDEAR APPLE INC;-18.0;19283.22;347097.99;1434.11;13.45;-242.1;AAPL;Apple Inc.;20.0;accion
2026-03-03;VTAS;CEDEAR SATELLOGIC INC;-35.0;4449.21;155722.24;1434.11;3.1;-108.5;SATL;Satellogic Inc.;1.0;accion
2026-03-03;VTAS;CEDEAR XP INC.;-20.0;7416.01;148320.19;1434.11;5.17;-103.4;XP;XP Inc;4.0;accion
2026-03-03;VTAS;CEDEAR BANCO BRADESCO SA;-46.0;5546.76;255151.04;1434.11;3.87;-178.02;BBD;Banco Bradesco S.A.;1.0;accion
2026-03-03;VTAS;CEDEAR PETROLEO BRASILEIRO S.A. (PBR);-15.0;24919.55;373793.23;1434.11;17.38;-260.7;PBR;Petrobras (ADR);1.0;accion
2026-03-03;RTA;BONO PCIA BS AS REGS NEW U$S 2037 B;;;;1434.11;;;;;;bonos
2026-03-03;DIV;CEDEAR PETROLEO BRASILEIRO S.A. (PBR);;;;1434.11;;;PBR;Petrobras (ADR);1.0;accion
2026-03-02;PAGO;;;;-580000.0;1413.54;;;;;;bonos
2026-02-27;VTAS;ON GM/CTR REGS 9,625% V.01/12/2027;-2571.0;22563.87;580117.13;1419.54;15.9;-40878.9;;;;bonos
2026-02-13;DIV;CEDEAR APPLE INC;;;;1423.6;;;AAPL;Apple Inc.;20.0;accion
2026-02-12;DIV;CEDEAR BANCO BRADESCO SA;;;;1417.81;;;BBD;Banco Bradesco S.A.;1.0;accion
2026-02-11;DIV;CEDEAR BANCO BRADESCO SA;;;;1431.68;;;BBD;Banco Bradesco S.A.;1.0;accion
2026-02-10;DIV;CEDEAR MASTERCARD INC.;;;;1432.85;;;MA;Mastercard Inc.;33.0;accion
2026-02-05;PAGO;;;;-169000.0;1460.8;;;;;;bonos
2026-02-03;VTAS;CEDEAR SALESFORCE.COM, INC;-10.0;16071.01;160710.14;1460.38;11.0;-110.0;CRM;Salesforce Inc.;18.0;accion
2026-01-29;VTU$;BONO PCIA BS AS REGS NEW U$S 2037 B;-184.0;;-332.1;1458.88;;;;;;bonos
2026-01-29;CPRA;BONO PCIA BS AS REGS NEW U$S 2037 B;184.0;111978.88;-206041.14;1458.88;76.76;14123.84;;;;bonos
2026-01-29;VTU$;BONOS REP. ARG. U$S STEP UP V.09/07/41;-647.0;;-1141.66;1458.88;;;;;;bonos
2026-01-29;CPRA;BONOS REP. ARG. U$S STEP UP V.09/07/41;647.0;110406.37;-714329.2;1458.88;75.68;48964.96;;;;bonos
2026-01-29;CPRA;CEDEAR MICROSOFT CORP.;7.0;21521.96;-150653.71;1458.88;14.75;103.25;MSFT;Microsoft Corp.;30.0;accion
2026-01-29;VTAS;CEDEAR FIRST SOL;-8.0;17936.49;143491.91;1458.88;12.29;-98.32;FSLR;First Solar Inc.;18.0;accion
2026-01-29;VTAS;CEDEAR XP INC.;-13.0;7521.75;97782.79;1458.88;5.16;-67.08;XP;XP Inc;4.0;accion
2026-01-29;VTAS;CEDEAR U.S.BANCO;-8.0;16859.1;134872.82;1458.88;11.56;-92.48;USB;U.S. Bancorp;5.0;accion
2026-01-29;VTAS;CEDEAR PETROLEO BRASILEIRO S.A. (PBR);-14.0;23323.42;326527.89;1458.88;15.99;-223.86;PBR;Petrobras (ADR);1.0;accion
