fecha;Operacion;Ticker;Precio_USA;Cantidad_USA;Inversion_USA;Broker;tipo;Posicion_Acum;Es_Cierre;ID_Trade;Precio_Unitario;PPP_Actual;Estado_Trade
2023-08-04;Compra;AAL;18.12;5.5;-99.66000000000001;Veta;accion;5.5;0;1;18.12;18.12;Cerrado
2023-08-10;Compra;AAL;17.88;0.5;-8.94;Veta;accion;6.0;0;1;17.88;18.1;Cerrado
2023-08-10;Venta;AAL;18.5;-0.5;9.25;Veta;accion;5.5;0;1;18.5;18.1;Cerrado
2023-08-18;Compra;AAL;17.2;3.0;-51.599999999999994;Veta;accion;8.5;0;1;17.2;17.78235294117647;Cerrado
2023-08-23;Compra;AAL;16.96;5.0;-84.80000000000001;Veta;accion;13.5;0;1;16.96;17.477777777777778;Cerrado
2023-08-23;Venta;AAL;16.66;-5.0;83.3;Veta;accion;8.5;0;1;16.66;17.477777777777778;Cerrado
2024-06-12;Compra;AAL;11.74;8.5;-99.79;Veta;accion;17.0;0;1;11.74;14.608888888888888;Cerrado
2024-08-13;Compra;AAL;9.77;15.3531;-149.999787;Quantfury;accion;32.3531;0;1;9.77;12.312603679743551;Cerrado
2025-02-25;Venta;AAL;15.0;-15.3531;230.29649999999998;Quantfury;accion;17.0;0;1;15.0;12.312603679743551;Cerrado
2025-02-25;Venta;AAL;15.0;-17.0;255.0;Veta;accion;0.0;1;1;15.0;0.0;Cerrado
2025-03-17;Compra;AAL;11.46;7.0;-80.22;Veta;accion;7.0;0;2;11.459999999999999;11.459999999999999;Cerrado
2025-10-17;Venta;AAL;11.66;-7.0;81.62;Veta;accion;0.0;1;2;11.66;0.0;Cerrado
2023-08-07;Compra;AAPL;207.60000000000005;0.5;-103.80000000000003;Veta;accion;0.5;0;1;207.60000000000005;415.2000000000001;Cerrado
2023-08-11;Venta;AAPL;196.7;-0.5;98.35;Veta;accion;0.0;1;1;196.7;0.0;Cerrado
2023-08-11;Compra;AAPL;197.7;0.5;-98.85;Veta;accion;0.5;0;2;197.7;395.4;Cerrado
2023-08-14;Compra;AAPL;187.10000000000005;0.2;-37.42000000000001;Veta;accion;0.7;0;2;187.10000000000002;389.3428571428572;Cerrado
2024-03-06;Compra;AAPL;178.6;1.15;-205.39;Veta;accion;1.85;0;2;178.6;227.7733333333333;Cerrado
2024-06-12;Venta;AAPL;217.6;-1.85;402.56;Veta;accion;-0.0;1;2;217.6;0.0;Cerrado
2025-04-07;Compra;AAPL;190.2;1.0;-190.2;Veta;accion;1.0;0;3;190.2;190.2;Abierto
2025-05-06;Compra;AAPL;202.8;0.8;-162.24;Veta;accion;1.8;0;3;202.8;195.79999999999998;Abierto
2026-03-03;Venta;AAPL;269.0;-0.9;242.1;Veta;accion;0.9;0;3;269.0;195.79999999999998;Abierto
2023-01-19;Compra;ABBV;161.0;1.4;-225.39999999999998;Veta;accion;1.4;0;1;161.0;161.0;Cerrado
2023-01-30;Venta;ABBV;151.2;-1.4;211.67999999999998;Veta;accion;0.0;1;1;151.2;0.0;Cerrado
2024-04-08;Compra;ABEV;7.63;31.0;-236.53;Veta;accion;31.0;0;1;7.63;7.63;Cerrado
2025-01-17;Compra;ABEV;1.78;44.9438;-79.999964;Quantfury;accion;75.9438;0;1;1.78;4.167950036737692;Cerrado
2025-05-06;Venta;ABEV;7.51;-31.0;232.81;Veta;accion;44.9438;0;1;7.51;4.167950036737692;Cerrado
2025-06-05;Venta;ABEV;2.46;-44.9438;110.56174800000001;Quantfury;accion;0.0;1;1;2.46;0.0;Cerrado
2024-09-18;Compra;ADBE;522.72;0.272727;-142.56;Veta;accion;0.272727;0;1;522.72;522.72;Abierto
2024-12-12;Compra;ADBE;488.84;0.272727;-133.32;Veta;accion;0.545454;0;1;488.84000000000003;505.78000000000003;Abierto
2025-06-27;Compra;ADBE;391.6;0.204545;-80.1;Veta;accion;0.749999;0;1;391.6000000000001;474.6400000000001;Abierto
2025-08-13;Compra;ADBE;353.76;0.204545;-72.35999999999999;Veta;accion;0.954544;0;1;353.76;448.737142857143;Abierto
2025-10-15;Compra;ADBE;330.25;0.3028;-99.9997;Quantfury;accion;1.257344;0;1;330.25;420.20249732481136;Abierto
2026-02-25;Compra;ADBE;255.2;0.1959;-49.99368;Quantfury;accion;1.453244;0;1;255.2;397.9598753886287;Abierto
2026-03-02;Compra;ADBE;271.69;0.184;-49.99096;Quantfury;accion;1.637244;0;1;271.69;383.76917661038226;Abierto
2024-10-30;Compra;AMD;152.79999999999998;1.4;-213.91999999999996;Veta;accion;1.4;0;1;152.79999999999998;152.79999999999998;Cerrado
2024-11-15;Compra;AMD;140.9;0.8;-112.72000000000001;Veta;accion;2.2;0;1;140.9;148.47272727272724;Cerrado
2025-03-01;Compra;AMD;125.02;1.1998;-149.998996;Quantfury;accion;3.3998;0;1;125.02000000000001;140.1961868345197;Cerrado
2025-03-07;Compra;AMD;99.9;0.8;-79.92000000000002;Veta;accion;4.1998;0;1;99.90000000000002;132.52035715986474;Cerrado
2025-08-12;Venta;AMD;174.1;-3.0;522.3;Veta;accion;1.1998;0;1;174.1;132.52035715986474;Cerrado
2025-12-08;Venta;AMD;174.39;-1.1998;209.23312199999998;Quantfury;accion;-0.0;1;1;174.39;0.0;Cerrado
2024-08-02;Compra;AMZN;162.71999999999997;0.847222;-137.85999999999999;Veta;accion;0.847222;0;1;162.72;162.72;Abierto
2025-03-07;Compra;AMZN;200.16;0.416667;-83.4;Veta;accion;1.263889;0;1;200.16;175.06285714285715;Abierto
2025-03-26;Compra;AMZN;203.04;0.694444;-141.0;Veta;accion;1.958333;0;1;203.04000000000002;184.98382978723404;Abierto
2025-06-03;Compra;AMZN;204.69;0.4886;-100.011534;Quantfury;accion;2.446933;0;1;204.69;188.9187284764603;Abierto
2025-10-17;Compra;AMZN;210.24;0.381944;-80.3;Veta;accion;2.828877;0;1;210.24;191.79744641573612;Abierto
2026-06-02;Compra;AMZN;207.3;0.193;-40.008900000000004;Quantfury;accion;3.021877;0;1;207.3;192.78755689067503;Abierto
2023-01-30;Compra;BABA;116.82;4.0;-467.28;Veta;accion;4.0;0;1;116.82;116.82;Cerrado
2023-05-11;Compra;BABA;91.98;2.555556;-235.06000000000003;Veta;accion;6.555556;0;1;91.98;107.13661016949153;Cerrado
2024-01-01;Venta;BABA;190.0;-4.0;760.0;Ajuste_Manual;accion;2.555556;0;1;;;Cerrado
2024-08-15;Venta;BABA;78.92999999999999;-2.555556;192.94;Veta;accion;0.0;1;1;78.92999999999999;107.13661016949153;Cerrado
2023-05-23;Compra;BAC;30.72;7.0;-215.04;Veta;accion;7.0;0;1;61.44;61.44;Cerrado
2023-07-31;Venta;BAC;34.42;-5.0;172.10000000000002;Veta;accion;2.0;0;1;68.84;61.44;Cerrado
2023-07-31;Compra;BAC;34.52;5.0;-172.60000000000002;Veta;accion;7.0;0;1;69.04;66.86857142857143;Cerrado
2023-08-01;Compra;BAC;34.54;2.0;-69.08;Veta;accion;9.0;0;1;69.08;67.36;Cerrado
2023-08-01;Venta;BAC;34.46;-2.0;68.92;Veta;accion;7.0;0;1;68.92;67.36;Cerrado
