Operado,Operacion,Especie,Cantidad,Precio,Importe,mep,Precio_usd,Inversion_usd,Ticker,tipo,Posicion_Acum,Es_Cierre,ID_Trade,Estado_Trade,Posicion_Acum_Redondeada,Estado_Trade_Corregido,Precio_Actual_ARS,Precio_Actual_USD,Valor_Actual_USD_Fila
2024-01-31,Compra,"AGROMETAL ""B"" ORDS 1V",3200.0,62.975,-201519.27,1175.67,0.05,160.0,AGRO,Acción Arg,3200.0,False,1,Cerrado,3200.0,Cerrado,46.900001525878906,0.03272374706140684,104.7159905965019
2024-02-27,Venta,"AGROMETAL ""B"" ORDS 1V",-3200.0,47.168,150938.76,1044.95,0.05,-160.0,AGRO,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,46.900001525878906,0.03272374706140684,0.0
2025-01-07,Compra,"AGROMETAL ""B"" ORDS 1V",2450.0,72.1,-176645.23,1164.37,0.06,147.0,AGRO,Acción Arg,2450.0,False,2,Cerrado,2450.0,Cerrado,46.900001525878906,0.03272374706140684,80.17318030044676
2025-01-31,Compra,"AGROMETAL ""B"" ORDS 1V",1400.0,69.092,-96728.45,1164.79,0.06,84.0,AGRO,Acción Arg,3850.0,False,2,Cerrado,3850.0,Cerrado,46.900001525878906,0.03272374706140684,125.98642618641634
2025-02-20,Compra,"AGROMETAL ""B"" ORDS 1V",520.0,60.067,-31234.68,1206.06,0.05,26.0,AGRO,Acción Arg,4370.0,False,2,Cerrado,4370.0,Cerrado,46.900001525878906,0.03272374706140684,143.0027746583479
2025-02-25,Venta,"AGROMETAL ""B"" ORDS 1V",-4370.0,54.448,237937.98,1211.96,0.04,-174.8,AGRO,Acción Arg,0.0,True,2,Cerrado,0.0,Cerrado,46.900001525878906,0.03272374706140684,0.0
2024-11-28,Compra,ALUAR ALUMINIO ARG.ORD 1 V,250.0,946.627,-236656.79,1075.15,0.88,220.0,ALUA,Acción Arg,250.0,False,1,Abierto,250.0,Abierto,797.0,0.5560943616078593,139.02359040196484
2024-12-09,Compra,ALUAR ALUMINIO ARG.ORD 1 V,84.0,902.505,-75810.39,1049.31,0.86,72.24,ALUA,Acción Arg,334.0,False,1,Abierto,334.0,Abierto,797.0,0.5560943616078593,185.735516777025
2025-01-17,Compra,ALUAR ALUMINIO ARG.ORD 1 V,126.0,799.218,-100701.47,1165.84,0.69,86.94,ALUA,Acción Arg,460.0,False,1,Abierto,460.0,Abierto,797.0,0.5560943616078593,255.80340633961526
2025-02-18,Compra,ALUAR ALUMINIO ARG.ORD 1 V,120.0,806.237,-96748.5,1203.16,0.67,80.4,ALUA,Acción Arg,580.0,False,1,Abierto,580.0,Abierto,797.0,0.5560943616078593,322.5347297325584
2025-02-28,Venta,ALUAR ALUMINIO ARG.ORD 1 V,-280.0,757.885,212207.78,1228.48,0.62,-173.6,ALUA,Acción Arg,300.0,False,1,Abierto,300.0,Abierto,797.0,0.5560943616078593,166.82830848235778
2025-04-24,Compra,ALUAR ALUMINIO ARG.ORD 1 V,155.0,705.959,-109423.69,1186.53,0.59,91.45,ALUA,Acción Arg,455.0,False,1,Abierto,455.0,Abierto,797.0,0.5560943616078593,253.02293453157597
2025-05-14,Compra,ALUAR ALUMINIO ARG.ORD 1 V,120.0,691.92,-83030.43,,,,ALUA,Acción Arg,575.0,False,1,Abierto,575.0,Abierto,797.0,0.5560943616078593,319.7542579245191
2024-01-16,Compra,BANCO BBVA ARG ESC S 1 V.,136.0,1935.06,-263167.87,1163.48,1.66,225.76,BBAR,Acción Arg,136.0,False,1,Cerrado,136.0,Cerrado,6995.0,4.880652521263458,663.7687428918302
2024-01-31,Venta,BANCO BBVA ARG ESC S 1 V.,-136.0,2502.02,340274.37,1175.67,2.13,-289.68,BBAR,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,6995.0,4.880652521263458,0.0
2024-10-22,Compra,BANCO BBVA ARG ESC S 1 V.,100.0,4652.91,-465291.31,1161.97,4.0,400.0,BBAR,Acción Arg,100.0,False,2,Cerrado,100.0,Cerrado,6995.0,4.880652521263458,488.0652521263458
2024-10-28,Venta,BANCO BBVA ARG ESC S 1 V.,-100.0,5285.25,528525.01,1134.18,4.66,-466.0,BBAR,Acción Arg,0.0,True,2,Cerrado,0.0,Cerrado,6995.0,4.880652521263458,0.0
2023-08-02,Compra,BCO HIPOTECARIO ESCRIT. D (CAT 1 Y 2),1800.0,33.593,-60467.81,512.54,0.07,126.0,BHIP,Acción Arg,1800.0,False,1,Cerrado,1800.0,Cerrado,351.0,0.24490479413344868,440.82862944020764
2023-08-29,Compra,BCO HIPOTECARIO ESCRIT. D (CAT 1 Y 2),680.0,51.042,-34708.33,671.02,0.08,54.4,BHIP,Acción Arg,2480.0,False,1,Cerrado,2480.0,Cerrado,351.0,0.24490479413344868,607.3638894509527
2024-01-31,Venta,BCO HIPOTECARIO ESCRIT. D (CAT 1 Y 2),-2480.0,224.623,557065.36,1175.67,0.19,-471.2,BHIP,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,351.0,0.24490479413344868,0.0
2025-01-31,Compra,BCO HIPOTECARIO ESCRIT. D (CAT 1 Y 2),370.0,549.525,-203324.28,1164.79,0.47,173.9,BHIP,Acción Arg,370.0,False,2,Cerrado,370.0,Cerrado,351.0,0.24490479413344868,90.614773829376
2025-02-18,Compra,BCO HIPOTECARIO ESCRIT. D (CAT 1 Y 2),200.0,504.4,-100879.97,1203.16,0.42,84.0,BHIP,Acción Arg,570.0,False,2,Cerrado,570.0,Cerrado,351.0,0.24490479413344868,139.59573265606574
2025-03-19,Venta,BCO HIPOTECARIO ESCRIT. D (CAT 1 Y 2),-570.0,468.692,267154.43,1286.38,0.36,-205.2,BHIP,Acción Arg,0.0,True,2,Cerrado,0.0,Cerrado,351.0,0.24490479413344868,0.0
2023-05-09,Compra,BANCO MACRO S.A. B 1 V. ESCRIT,129.0,836.321,-107885.41,430.51,1.94,250.26,BMA,Acción Arg,129.0,False,1,Cerrado,129.0,Cerrado,10370.0,7.235506311008156,933.3803141200522
2023-06-06,Venta,BANCO MACRO S.A. B 1 V. ESCRIT,-59.0,1039.1,61306.91,471.8,2.2,-129.8,BMA,Acción Arg,70.0,False,1,Cerrado,70.0,Cerrado,10370.0,7.235506311008156,506.4854417705709
2023-06-22,Venta,BANCO MACRO S.A. B 1 V. ESCRIT,-70.0,1294.39,90607.13,480.58,2.69,-188.3,BMA,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,10370.0,7.235506311008156,0.0
2024-09-27,Compra,BANCO MACRO S.A. B 1 V. ESCRIT,24.0,8197.75,-196746.02,1207.75,6.79,162.96,BMA,Acción Arg,24.0,False,2,Cerrado,24.0,Cerrado,10370.0,7.235506311008156,173.65215146419575
2024-10-15,Venta,BANCO MACRO S.A. B 1 V. ESCRIT,-24.0,8765.54,210372.9,1139.91,7.69,-184.56,BMA,Acción Arg,0.0,True,2,Cerrado,0.0,Cerrado,10370.0,7.235506311008156,0.0
2024-11-11,Compra,BCO PATAGONIA ACC CL B,70.0,2080.78,-145654.24,1131.23,1.84,128.8,BPAT,Acción Arg,70.0,False,1,Cerrado,70.0,Cerrado,2070.0,1.4443103243767486,101.1017227063724
2025-01-17,Venta,BCO PATAGONIA ACC CL B,-70.0,2747.33,192313.29,1165.84,2.36,-165.2,BPAT,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,2070.0,1.4443103243767486,0.0
2023-08-29,Compra,BOLSAS Y MERCADOS ARG. $ ORD. (BYMA),1100.0,54.751999999999995,-60227.15,671.02,0.08199999999999999,90.2,BYMA,Acción Arg,1100.0,False,1,Abierto,1100.0,Cerrado,313.75,0.2189141856392294,240.80560420315234
2024-09-20,Compra,BOLSAS Y MERCADOS ARG. $ ORD. (BYMA),600.0,164.4565,-98673.85,1200.1,0.135,81.0,BYMA,Acción Arg,1700.0,False,1,Abierto,1700.0,Cerrado,313.75,0.2189141856392294,372.15411558669
2024-10-04,Compra,BOLSAS Y MERCADOS ARG. $ ORD. (BYMA),460.0,157.437,-72420.99,1187.52,0.135,62.1,BYMA,Acción Arg,2160.0,False,1,Abierto,2160.0,Cerrado,313.75,0.2189141856392294,472.8546409807355
2024-11-27,Venta,BOLSAS Y MERCADOS ARG. $ ORD. (BYMA),-2160.0,179.0005,386640.97,1074.61,0.165,-356.4,BYMA,Acción Arg,0.0,True,1,Abierto,0.0,Cerrado,313.75,0.2189141856392294,0.0
2025-01-17,Compra,BOLSAS Y MERCADOS ARG. $ ORD. (BYMA),864.0,232.6455,-201005.85,1165.84,0.2,172.8,BYMA,Acción Arg,864.0,False,2,Abierto,864.0,Abierto,313.75,0.2189141856392294,189.14185639229422
2025-07-14,Compra,BOLSAS Y MERCADOS ARG. $ ORD. (BYMA),400.0,192.534,-77013.73,1295.84,0.15,60.0,BYMA,Acción Arg,1264.0,False,2,Abierto,1264.0,Abierto,313.75,0.2189141856392294,276.70753064798595
2024-10-22,Compra,CAPEX S.A.1 VOTO ESC,43.0,5715.86,-245782.11,1161.97,4.92,211.56,CAPX,Acción Arg,43.0,False,1,Abierto,43.0,Abierto,4470.0,3.1188730193063123,134.11153983017144
2025-03-14,Compra,CAPEX S.A.1 VOTO ESC,10.0,6377.7,-63777.0,1237.78,5.15,51.5,CAPX,Acción Arg,53.0,False,1,Abierto,53.0,Abierto,4470.0,3.1188730193063123,165.30027002323456
2023-12-29,Compra,"CTRAL COSTANERA ""B""",254.0,365.013,-92713.29,995.0,0.37,93.98,CECO2,Acción Arg,254.0,False,1,Cerrado,254.0,Cerrado,412.0,0.2874665959629084,73.01651537457873
2024-01-16,Compra,"CTRAL COSTANERA ""B""",630.0,420.166,-264704.64,1163.48,0.36,226.8,CECO2,Acción Arg,884.0,False,1,Cerrado,884.0,Cerrado,412.0,0.2874665959629084,254.12047083121104
2024-07-22,Venta,"CTRAL COSTANERA ""B""",-884.0,343.043,303249.7,1333.37,0.26,-229.84,CECO2,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,412.0,0.2874665959629084,0.0
2024-11-22,Compra,"CELULOSA ""B""",100.0,1002.78,-100278.3,1080.4,0.93,93.0,CELU,Acción Arg,100.0,False,1,Cerrado,100.0,Cerrado,312.0,0.21769315034084327,21.76931503408433
2025-01-17,Venta,"CELULOSA ""B""",-100.0,802.76,80275.97,1165.84,0.69,-69.0,CELU,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,312.0,0.21769315034084327,0.0
2024-12-16,Compra,CAMUZZI GAS DEL SUR,34.0,3605.01,-122570.17,1100.27,3.28,111.52,CGAS,Acción Arg,34.0,False,1,Cerrado,34.0,Cerrado,,,
2024-12-26,Venta,CAMUZZI GAS DEL SUR,-34.0,3829.31,130196.65,1170.89,3.27,-111.18,CGAS,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,,,
2023-08-14,Compra,SOCIEDAD COMERCIAL DEL PLATA ORD.1V,1445.0,42.017,-60714.0,621.14,0.07,101.15,COME,Acción Arg,1445.0,False,1,Cerrado,1445.0,Cerrado,45.790000915527344,0.03194926138913861,46.16668270730529
2023-08-29,Compra,SOCIEDAD COMERCIAL DEL PLATA ORD.1V,630.0,54.551,-34367.38,671.02,0.08,50.4,COME,Acción Arg,2075.0,False,1,Cerrado,2075.0,Cerrado,45.790000915527344,0.03194926138913861,66.29471738246262
2023-11-09,Compra,SOCIEDAD COMERCIAL DEL PLATA ORD.1V,695.0,51.443,-35752.72,863.3,0.06,41.7,COME,Acción Arg,2770.0,False,1,Cerrado,2770.0,Cerrado,45.790000915527344,0.03194926138913861,88.49945404791394
